,name,merchant,price,url,description,image
32,BCBGeneration Faux Shearling Long Vest,BCBGeneration,69.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13627213631&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZNW4196073-900.html,BCBGeneration Faux Shearling Long Vest,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw541bcec3/images/large/ZNW4196073_900.jpg?sw=500&sh=791&sm=fit
33,BCBGeneration Graphic Floral Robe Jacket,BCBGeneration,59.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13984239388&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZOI4169949-977.html,BCBGeneration Graphic Floral Robe Jacket,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwfdfdf78e/images/large/ZOI4169949_977.jpg?sw=500&sh=791&sm=fit
34,BCBGeneration Surplice Knit Crop Top,BCBGeneration,20.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13682078202&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FYDM1169934-501.html,BCBGeneration Surplice Knit Crop Top,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw0accec67/images/large/YDM1169934_501.jpg?sw=500&sh=791&sm=fit
35,BCBGeneration Graphic Floral Robe Jacket,BCBGeneration,59.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13984239395&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZOI4169949-977.html,BCBGeneration Graphic Floral Robe Jacket,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwfdfdf78e/images/large/ZOI4169949_977.jpg?sw=500&sh=791&sm=fit
36,BCBGeneration Off The Shoulder Crop Top,BCBGeneration,23.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13612754013&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZRL1169650-001.html,BCBGeneration Off The Shoulder Crop Top,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw4f5e1f1f/images/large/ZRL1169650_001.jpg?sw=500&sh=791&sm=fit
37,BCBGeneration Off The Shoulder Crop Top,BCBGeneration,23.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13612754007&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZRL1169650-001.html,BCBGeneration Off The Shoulder Crop Top,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw4f5e1f1f/images/large/ZRL1169650_001.jpg?sw=500&sh=791&sm=fit
38,BCBGeneration Striped Crop Trouser,BCBGeneration,26.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13426989501&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZZQ2H140-003.html,BCBGeneration Striped Crop Trouser,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw77b95f2e/images/large/ZZQ2H140_003.jpg?sw=500&sh=791&sm=fit
39,BCBGeneration Long Sleeve Ruffle Shirt,BCBGeneration,49.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13426989554&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FTNW16A87-110.html,BCBGeneration Long Sleeve Ruffle Shirt,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwae85c81f/images/large/TNW16A87_110.jpg?sw=500&sh=791&sm=fit
40,BCBGeneration Cheetah Jacquard Crop Top,BCBGeneration,34.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13446092671&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZVT16A76-001.html,BCBGeneration Cheetah Jacquard Crop Top,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw8f0884c3/images/large/ZVT16A76_001.jpg?sw=500&sh=791&sm=fit
41,BCBGeneration One Shoulder Asymmetric Ruffle Top,BCBGeneration,39.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13682078182&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FWQO1169654-001.html,BCBGeneration One Shoulder Asymmetric Ruffle Top,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwe4b890d9/images/large/WQO1169654_001.jpg?sw=500&sh=791&sm=fit
